dteday,season,year,month,hour,weekday,workingday,weather_situation,temp,feeling_temperature,humidity,windspeed,casual,registered,count,recency
2011-01-06,Spring,2011,January,6,Friday,Working Day,Mist,0.14,0.1667,0.63,0.1045,0,36,36,725
2011-01-06,Spring,2011,January,7,Friday,Working Day,Mist,0.16,0.2273,0.59,0.0,0,95,95,725
2011-01-06,Spring,2011,January,8,Friday,Working Day,Clear,0.16,0.2273,0.59,0.0,3,216,219,725
2011-01-06,Spring,2011,January,9,Friday,Working Day,Mist,0.18,0.2424,0.51,0.0,6,116,122,725
2011-01-06,Spring,2011,January,10,Friday,Working Day,Clear,0.2,0.2576,0.47,0.0,3,42,45,725
2011-01-06,Spring,2011,January,11,Friday,Working Day,Clear,0.22,0.2576,0.44,0.0896,2,57,59,725
2011-01-06,Spring,2011,January,12,Friday,Working Day,Clear,0.26,0.2879,0.35,0.0,6,78,84,725
2011-01-06,Spring,2011,January,13,Friday,Working Day,Clear,0.26,0.2727,0.35,0.1045,12,55,67,725
2011-01-06,Spring,2011,January,14,Friday,Working Day,Clear,0.28,0.2727,0.36,0.1642,11,59,70,725
2011-01-06,Spring,2011,January,15,Friday,Working Day,Clear,0.28,0.2727,0.36,0.0,8,54,62,725
2011-01-06,Spring,2011,January,16,Friday,Working Day,Clear,0.26,0.2576,0.38,0.1642,12,74,86,725
2011-01-06,Spring,2011,January,17,Friday,Working Day,Clear,0.22,0.2273,0.51,0.1642,9,163,172,725
2011-01-06,Spring,2011,January,18,Friday,Working Day,Clear,0.22,0.2273,0.51,0.1343,5,158,163,725
2011-01-06,Spring,2011,January,19,Friday,Working Day,Clear,0.22,0.2576,0.55,0.0896,3,109,112,725
2011-01-06,Spring,2011,January,20,Friday,Working Day,Clear,0.2,0.2121,0.51,0.1642,3,66,69,725
2011-01-06,Spring,2011,January,21,Friday,Working Day,Mist,0.22,0.2121,0.55,0.2239,0,48,48,725
2011-01-06,Spring,2011,January,22,Friday,Working Day,Mist,0.22,0.2121,0.51,0.2836,1,51,52,725
2011-01-06,Spring,2011,January,23,Friday,Working Day,Mist,0.2,0.197,0.59,0.194,4,19,23,725
2011-01-07,Spring,2011,January,0,Saturday,Working Day,Mist,0.2,0.197,0.64,0.194,4,13,17,724
2011-01-07,Spring,2011,January,1,Saturday,Working Day,Mist,0.2,0.197,0.69,0.2239,2,5,7,724
2011-01-07,Spring,2011,January,2,Saturday,Working Day,Mist,0.2,0.197,0.69,0.2239,0,1,1,724
2011-01-07,Spring,2011,January,4,Saturday,Working Day,Mist,0.2,0.2121,0.69,0.1343,0,1,1,724
2011-01-07,Spring,2011,January,5,Saturday,Working Day,Light Snow,0.22,0.2727,0.55,0.0,0,5,5,724
2011-01-07,Spring,2011,January,6,Saturday,Working Day,Mist,0.2,0.2576,0.69,0.0,8,26,34,724
2011-01-07,Spring,2011,January,7,Saturday,Working Day,Clear,0.2,0.2121,0.69,0.1343,8,76,84,724
2011-01-07,Spring,2011,January,8,Saturday,Working Day,Clear,0.2,0.197,0.51,0.2537,20,190,210,724
2011-01-07,Spring,2011,January,9,Saturday,Working Day,Clear,0.2,0.1818,0.47,0.2985,9,125,134,724
2011-01-07,Spring,2011,January,10,Saturday,Working Day,Clear,0.22,0.197,0.37,0.3284,16,47,63,724
2011-01-07,Spring,2011,January,11,Saturday,Working Day,Mist,0.2,0.197,0.4,0.2239,19,48,67,724
2011-01-07,Spring,2011,January,12,Saturday,Working Day,Mist,0.2,0.197,0.37,0.2537,9,50,59,724
2011-01-07,Spring,2011,January,13,Saturday,Working Day,Mist,0.2,0.1818,0.37,0.2836,9,64,73,724
2011-01-07,Spring,2011,January,14,Saturday,Working Day,Mist,0.2,0.197,0.4,0.2537,7,43,50,724
2011-01-07,Spring,2011,January,15,Saturday,Working Day,Mist,0.2,0.2121,0.37,0.1642,9,63,72,724
2011-01-07,Spring,2011,January,16,Saturday,Working Day,Mist,0.2,0.2121,0.37,0.1642,5,82,87,724
2011-01-07,Spring,2011,January,17,Saturday,Working Day,Mist,0.2,0.2576,0.37,0.0,9,178,187,724
2011-01-07,Spring,2011,January,18,Saturday,Working Day,Clear,0.2,0.2273,0.4,0.0896,7,116,123,724
2011-01-07,Spring,2011,January,19,Saturday,Working Day,Clear,0.16,0.197,0.55,0.0896,3,92,95,724
2011-01-07,Spring,2011,January,20,Saturday,Working Day,Clear,0.18,0.2121,0.47,0.1045,1,50,51,724
2011-01-07,Spring,2011,January,21,Saturday,Working Day,Clear,0.18,0.197,0.47,0.1343,0,39,39,724
2011-01-07,Spring,2011,January,22,Saturday,Working Day,Mist,0.18,0.197,0.43,0.1642,2,34,36,724
2011-01-07,Spring,2011,January,23,Saturday,Working Day,Mist,0.18,0.197,0.51,0.1642,1,14,15,724
2011-01-08,Spring,2011,January,0,Sunday,Holiday,Mist,0.18,0.197,0.51,0.1642,1,24,25,723
2011-01-08,Spring,2011,January,1,Sunday,Holiday,Mist,0.18,0.2121,0.55,0.0896,1,15,16,723
2011-01-08,Spring,2011,January,2,Sunday,Holiday,Mist,0.18,0.2424,0.55,0.0,3,13,16,723
2011-01-08,Spring,2011,January,3,Sunday,Holiday,Light Snow,0.18,0.197,0.55,0.1642,0,7,7,723
2011-01-08,Spring,2011,January,4,Sunday,Holiday,Light Snow,0.18,0.197,0.55,0.1642,0,1,1,723
2011-01-08,Spring,2011,January,5,Sunday,Holiday,Mist,0.16,0.1667,0.74,0.1642,0,5,5,723
2011-01-08,Spring,2011,January,6,Sunday,Holiday,Mist,0.16,0.1667,0.74,0.1642,0,2,2,723
2011-01-08,Spring,2011,January,7,Sunday,Holiday,Mist,0.16,0.1818,0.74,0.1045,1,8,9,723
2011-01-08,Spring,2011,January,8,Sunday,Holiday,Light Snow,0.16,0.1818,0.93,0.1045,0,15,15,723
2011-01-08,Spring,2011,January,9,Sunday,Holiday,Light Snow,0.16,0.1818,0.93,0.1045,0,20,20,723
2011-01-08,Spring,2011,January,10,Sunday,Holiday,Mist,0.18,0.197,0.8,0.1642,5,56,61,723
2011-01-08,Spring,2011,January,11,Sunday,Holiday,Mist,0.2,0.1818,0.69,0.3881,2,60,62,723
2011-01-08,Spring,2011,January,12,Sunday,Holiday,Mist,0.2,0.1818,0.59,0.3582,8,90,98,723
2011-01-08,Spring,2011,January,13,Sunday,Holiday,Clear,0.2,0.1818,0.44,0.3284,7,95,102,723
2011-01-08,Spring,2011,January,14,Sunday,Holiday,Clear,0.2,0.1667,0.32,0.4925,12,83,95,723
2011-01-08,Spring,2011,January,15,Sunday,Holiday,Clear,0.2,0.1667,0.32,0.4478,5,69,74,723
2011-01-08,Spring,2011,January,16,Sunday,Holiday,Clear,0.18,0.1364,0.29,0.4478,8,68,76,723
2011-01-08,Spring,2011,January,17,Sunday,Holiday,Clear,0.16,0.1212,0.37,0.5522,5,64,69,723
2011-01-08,Spring,2011,January,18,Sunday,Holiday,Clear,0.14,0.1212,0.39,0.2985,3,52,55,723
2011-01-08,Spring,2011,January,19,Sunday,Holiday,Clear,0.14,0.1212,0.36,0.2537,4,26,30,723
2011-01-08,Spring,2011,January,20,Sunday,Holiday,Clear,0.12,0.1212,0.36,0.2537,0,28,28,723
2011-01-08,Spring,2011,January,21,Sunday,Holiday,Clear,0.12,0.1061,0.39,0.3582,2,35,37,723
2011-01-08,Spring,2011,January,22,Sunday,Holiday,Clear,0.12,0.1061,0.36,0.3881,1,33,34,723
2011-01-08,Spring,2011,January,23,Sunday,Holiday,Clear,0.1,0.0606,0.39,0.4478,0,22,22,723
2011-01-09,Spring,2011,January,0,Monday,Holiday,Clear,0.1,0.0758,0.42,0.3881,1,24,25,722
2011-01-09,Spring,2011,January,1,Monday,Holiday,Clear,0.1,0.0606,0.42,0.4627,0,12,12,722
2011-01-09,Spring,2011,January,2,Monday,Holiday,Clear,0.1,0.0606,0.46,0.4627,0,11,11,722
2011-01-09,Spring,2011,January,3,Monday,Holiday,Clear,0.1,0.0758,0.46,0.4179,0,4,4,722
2011-01-09,Spring,2011,January,4,Monday,Holiday,Clear,0.08,0.0909,0.53,0.194,0,1,1,722
2011-01-09,Spring,2011,January,5,Monday,Holiday,Clear,0.08,0.0909,0.53,0.194,0,1,1,722
2011-01-09,Spring,2011,January,6,Monday,Holiday,Clear,0.1,0.0909,0.49,0.2836,0,1,1,722
2011-01-09,Spring,2011,January,7,Monday,Holiday,Clear,0.08,0.0909,0.53,0.194,1,5,6,722
2011-01-09,Spring,2011,January,8,Monday,Holiday,Clear,0.1,0.0909,0.49,0.2836,0,10,10,722
2011-01-09,Spring,2011,January,9,Monday,Holiday,Clear,0.12,0.0758,0.46,0.5224,0,19,19,722
2011-01-09,Spring,2011,January,10,Monday,Holiday,Clear,0.14,0.1061,0.43,0.3881,0,49,49,722
2011-01-09,Spring,2011,January,11,Monday,Holiday,Clear,0.16,0.1212,0.4,0.5224,2,47,49,722
2011-01-09,Spring,2011,January,12,Monday,Holiday,Clear,0.18,0.1364,0.37,0.4478,4,79,83,722
2011-01-09,Spring,2011,January,13,Monday,Holiday,Clear,0.2,0.1667,0.34,0.4478,6,69,75,722
2011-01-09,Spring,2011,January,14,Monday,Holiday,Clear,0.22,0.1818,0.32,0.4627,8,64,72,722
2011-01-09,Spring,2011,January,15,Monday,Holiday,Clear,0.22,0.197,0.35,0.3582,5,77,82,722
2011-01-09,Spring,2011,January,16,Monday,Holiday,Clear,0.2,0.1667,0.34,0.4478,13,79,92,722
2011-01-09,Spring,2011,January,17,Monday,Holiday,Clear,0.18,0.1515,0.37,0.3881,3,59,62,722
2011-01-09,Spring,2011,January,18,Monday,Holiday,Clear,0.16,0.1364,0.4,0.3284,4,44,48,722
2011-01-09,Spring,2011,January,19,Monday,Holiday,Clear,0.16,0.1364,0.43,0.3284,1,40,41,722
2011-01-09,Spring,2011,January,20,Monday,Holiday,Clear,0.14,0.1212,0.46,0.2537,0,38,38,722
2011-01-09,Spring,2011,January,21,Monday,Holiday,Clear,0.14,0.1061,0.46,0.4179,1,19,20,722
2011-01-09,Spring,2011,January,22,Monday,Holiday,Clear,0.14,0.1212,0.46,0.2985,5,10,15,722
2011-01-09,Spring,2011,January,23,Monday,Holiday,Clear,0.12,0.1364,0.5,0.194,0,6,6,722
2011-01-10,Spring,2011,January,0,Tuesday,Working Day,Clear,0.12,0.1212,0.5,0.2836,2,3,5,721
2011-01-10,Spring,2011,January,1,Tuesday,Working Day,Clear,0.12,0.1212,0.5,0.2836,1,0,1,721
2011-01-10,Spring,2011,January,2,Tuesday,Working Day,Clear,0.12,0.1212,0.5,0.2239,0,3,3,721
2011-01-10,Spring,2011,January,3,Tuesday,Working Day,Clear,0.12,0.1212,0.5,0.2239,0,1,1,721
2011-01-10,Spring,2011,January,4,Tuesday,Working Day,Clear,0.1,0.1212,0.54,0.1343,1,2,3,721
2011-01-10,Spring,2011,January,5,Tuesday,Working Day,Clear,0.1,0.1061,0.54,0.2537,0,3,3,721
2011-01-10,Spring,2011,January,6,Tuesday,Working Day,Clear,0.12,0.1212,0.5,0.2836,0,31,31,721
2011-01-10,Spring,2011,January,7,Tuesday,Working Day,Clear,0.12,0.1212,0.5,0.2239,2,75,77,721
2011-01-10,Spring,2011,January,8,Tuesday,Working Day,Mist,0.12,0.1212,0.5,0.2836,4,184,188,721
2011-01-10,Spring,2011,January,9,Tuesday,Working Day,Mist,0.14,0.1212,0.5,0.2537,2,92,94,721
2011-01-10,Spring,2011,January,10,Tuesday,Working Day,Mist,0.14,0.1212,0.5,0.2985,0,31,31,721
2011-01-10,Spring,2011,January,11,Tuesday,Working Day,Mist,0.16,0.1364,0.47,0.2836,2,28,30,721
2011-01-10,Spring,2011,January,12,Tuesday,Working Day,Mist,0.2,0.1818,0.4,0.2836,5,47,52,721
2011-01-10,Spring,2011,January,13,Tuesday,Working Day,Mist,0.2,0.1818,0.4,0.2836,4,50,54,721
2011-01-10,Spring,2011,January,14,Tuesday,Working Day,Mist,0.2,0.197,0.4,0.2239,0,47,47,721
2011-01-10,Spring,2011,January,15,Tuesday,Working Day,Mist,0.2,0.197,0.4,0.2239,2,43,45,721
2011-01-10,Spring,2011,January,16,Tuesday,Working Day,Clear,0.2,0.2121,0.4,0.1343,4,70,74,721
2011-01-10,Spring,2011,January,17,Tuesday,Working Day,Clear,0.2,0.2273,0.4,0.1045,4,174,178,721
2011-01-10,Spring,2011,January,18,Tuesday,Working Day,Clear,0.2,0.197,0.4,0.2239,1,154,155,721
2011-01-10,Spring,2011,January,19,Tuesday,Working Day,Clear,0.16,0.1667,0.47,0.1642,3,92,95,721
2011-01-10,Spring,2011,January,20,Tuesday,Working Day,Clear,0.16,0.1667,0.5,0.1642,1,73,74,721
2011-01-10,Spring,2011,January,21,Tuesday,Working Day,Clear,0.14,0.1364,0.59,0.194,1,37,38,721
2011-01-10,Spring,2011,January,22,Tuesday,Working Day,Clear,0.14,0.1515,0.59,0.1642,2,22,24,721
2011-01-10,Spring,2011,January,23,Tuesday,Working Day,Clear,0.14,0.1515,0.59,0.1642,0,18,18,721
2011-01-11,Spring,2011,January,0,Wednesday,Working Day,Clear,0.14,0.1667,0.59,0.1045,2,10,12,720
2011-01-11,Spring,2011,January,1,Wednesday,Working Day,Clear,0.14,0.1515,0.59,0.1642,0,3,3,720
2011-01-11,Spring,2011,January,2,Wednesday,Working Day,Mist,0.16,0.1515,0.55,0.194,0,3,3,720
2011-01-11,Spring,2011,January,5,Wednesday,Working Day,Mist,0.16,0.1818,0.55,0.1343,0,6,6,720
2011-01-11,Spring,2011,January,6,Wednesday,Working Day,Mist,0.16,0.1818,0.55,0.1343,0,27,27,720
2011-01-11,Spring,2011,January,7,Wednesday,Working Day,Mist,0.16,0.2273,0.55,0.0,2,97,99,720
2011-01-11,Spring,2011,January,8,Wednesday,Working Day,Mist,0.18,0.2121,0.51,0.0896,3,214,217,720
